"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Rising Sun","6.158","When a prostitute is found dead in a Los Angeles skyscraper occupied by a large Japanese corporation, detectives John Connor and Web Smith are called in to investigate. Although Connor has previous experience working in Japan, cultural differences make their progress difficult until a security disc showing the murder turns up. Close scrutiny proves the disc has been doctored, and the detectives realize they're dealing with a cover-up as well.","1993-07-30","en","Philip Kaufman","Sean Connery, Wesley Snipes, Tia Carrere, Cary-Hiroyuki Tagawa, Harvey Keitel","107198790","Action, Drama, Thriller","Боевик, Драма, Триллер"
"Sniper","6.2","Tough guy Thomas Beckett is an US soldier working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners on such missions. This time he's accompanied by crack marksman Richard Miller.","1993-01-29","en","Luis Llosa","Tom Berenger, Billy Zane, J.T. Walsh, Aden Young, Kenneth Radley","18994652","Action, Drama, Thriller","Боевик, Драма, Триллер"
"The Fugitive","7.467","Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name.","1993-08-06","en","Andrew Davis","Harrison Ford, Tommy Lee Jones, Joe Pantoliano, Jeroen Krabbé, Daniel Roebuck","183875799","Action, Thriller, Drama","Боевик, Триллер, Драма"
"Nowhere to Run","6.4","Escaped convict Sam Gillen single-handedly takes on ruthless developers who are determined to evict a widow with two young children.","1993-01-15","en","Robert Harmon","Jean-Claude Van Damme, Rosanna Arquette, Kieran Culkin, Ted Levine, Tiffany Taubman","64000000","Action, Drama, Thriller, Romance","Боевик, Драма, Триллер, Романтика"
"Prison Heat","4.7","Four American babes on vacation in the Middle East run into trouble when they are imprisoned by corrupt army officials and that's where the fun begins.","1993-02-23","en","Joel Silberg","Rebecca Chambers, Lori Jo Hendrix, Kena Land, Toni Naples, Gilya Stern","0","Drama, Action, Thriller, Crime","Драма, Боевик, Триллер, Криминал"
"El Mariachi","6.722","El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor, a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake el Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.","1993-02-22","es","Robert Rodriguez","Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt, Reinol Martinez","2000000","Action, Crime, Thriller, Western","Боевик, Криминал, Триллер, Вестерн"
"In the Line of Fire","6.984","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.","1993-07-08","en","Wolfgang Petersen","Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole","177000000","Action, Drama, Thriller, Crime, Mystery","Боевик, Драма, Триллер, Криминал, Мистика"
"Cliffhanger","6.5","A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.","1993-05-28","en","Renny Harlin","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn","255000211","Action, Adventure, Thriller","Боевик, Приключения, Триллер"
"Striking Distance","5.8","Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted to water-way duty Tom, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence.","1993-09-17","en","Rowdy Herrington","Bruce Willis, Sarah Jessica Parker, Dennis Farina, Tom Sizemore, Brion James","0","Crime, Action, Mystery, Thriller","Криминал, Боевик, Мистика, Триллер"
"Point of No Return","6.2","Hardened criminal Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top-secret US government agent 'Bob' arranges a staged death, so Maggie can be elaborately trained as a phantom killer and subdued into obedience.","1993-03-19","en","John Badham","Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer, Anne Bancroft","30038362","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"American Ninja 5","4.8","When a scientists daughter is kidnapped, American Ninja, attempts to find her, but this time he teams up with a youngster he has trained in the ways of the ninja.","1993-04-02","en","Bob Bralver","David Bradley, Lee Reyes, Anne Dupont, Pat Morita, James Lew","0","Action, Thriller","Боевик, Триллер"
"Killing Zoe","6.25","Zed is an American vault-cracker who travels to Paris to meet up with his old friend Eric. Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.","1993-10-01","en","Roger Avary","Eric Stoltz, Julie Delpy, Jean-Hugues Anglade, Tai Thai, Bruce Ramsay","418961","Action, Crime, Drama, Thriller","Боевик, Криминал, Драма, Триллер"
"Tai-Chi Master","7.197","Falsely accused for cheating in a martial arts competition, two boyhood friends are banished from their Shaolin Temple and go their separate ways. As adults, they join opposing sides in a civil war. When one betrays the other, they settle their differences mano-a-mano.","1993-11-18","cn","Yuen Wo-Ping","Jet Li, Michelle Yeoh, Chin Siu-Ho, Fennie Yuen Kit-Ying, Yu Hai","652527","Action, Comedy, Drama, Thriller","Боевик, Комедия, Драма, Триллер"
"Undefeatable","5.3","The film follows Kristi Jones who, along with her gang, take part in Mafia-run street fights to earn money for her sister's college education. Kristi's sister hopes to become a doctor and pay for Kristi's education.","1993-03-05","en","Godfrey Ho","Cynthia Rothrock, Don Niam, John Miller, Donna Jason, Sunny David","0","Action, Thriller","Боевик, Триллер"
"Supercop 2","5.7","As a crime wave sweeps through Hong Kong, the police call Jessica Yang (Yeoh), a rising star in the ranks, to help stop a notorious gang of thieves! What Jessica doesn't realize is that her boyfriend - recently discharged from the force - is the leader of this ruthless crime ring!","1993-10-21","cn","Stanley Tong","Michelle Yeoh, Yu Rongguang, Emil Chau Wah-Kin, Louis Fan Siu-Wong, Athena Chu","1200000","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Mutant Action","6.2","Waging war against all things glamorous and beautiful, crippled terrorists Acción Mutante plot a series of attacks on society's elite, and attempt the kidnapping of a wealthy socialite at her elaborate wedding reception.","1993-02-03","es","Álex de la Iglesia","Antonio Resines, Álex Angulo, Frédérique Feder, Juan Viadas, Karra Elejalde","1089975","Action, Comedy, Science Fiction, Thriller","Боевик, Комедия, Научная фантастика, Триллер"
"Street Fighter","4.577","Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.","1994-12-23","en","Steven E. de Souza","Jean-Claude Van Damme, Raúl Juliá, Ming-Na Wen, Byron Mann, Damian Chapa","99423521","Action, Adventure, Comedy, Thriller","Боевик, Приключения, Комедия, Триллер"
"The Specialist","5.879","May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.","1994-10-07","en","Luis Llosa","Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger, Eric Roberts","170362582","Action, Thriller","Боевик, Триллер"
"Speed","7.141","Jack Traven, an LAPD cop on SWAT detail, and veteran SWAT officer Harry Temple thwart an extortionist-bomber's scheme for a $3 million ransom. As they corner the bomber, he flees and detonates a bomb vest, seemingly killing himself. Weeks later, Jack witnesses a mass transit city bus explode and nearby a pay phone rings. On the phone is that same bomber looking for vengeance and the money he's owed. He gives a personal challenge to Jack: a bomb is rigged on another city bus - if it slows down below 50 mph, it will explode - bad enough any day, but a nightmare in LA traffic. And that's just the beginning...","1994-06-09","en","Jan de Bont","Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton, Jeff Daniels","350448145","Action, Thriller","Боевик, Триллер"
